Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) ,Month,Day,DistrictHeatingWater:Facility [J](TimeStep),DistrictCooling:Facility [W](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),ASHP_cooling_COP,ASHP_heating_COP,ASHP_cooling_exergy_efficiency,ASHP_heating_exergy_efficiency,Cooling_demand_W_m2,Heating_demand_W_m2,Cooling_exergy_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_cooling_exergy_efficiency_zero_filled,ASHP_heating_exergy_efficiency_zero_filled
 01/03  18:00:00,01/03 18:00:00,2.4,22.0,6.2889420431841,22.0,22.0,22.0,22.0,0.0,16998224.494499672,1,1,16998224.494499672,0.0,4721.729026249909,,3.076803680886109,,0.24256070449695638,0.0,9.240174219667141,-0.0,0.6136114338657502,0.0,0.24256070449695638
 01/03  19:00:00,01/03 19:00:00,1.7,22.0,3.370648258220068,22.0,22.0,22.0,22.0,0.0,19144864.11958602,1,1,19144864.11958602,0.0,5318.017810996117,,3.0545139007541815,,0.24795135947875055,0.0,10.407079864963046,-0.0,0.7157842495637811,0.0,0.24795135947875055
 01/03  20:00:00,01/03 20:00:00,0.9,22.0,1.4901452841357004,22.000000000000004,22.0,22.0,22.0,0.0,21236319.41126364,1,1,21236319.41126364,0.0,5898.9776142399005,,3.0581696974842245,,0.2564268986744483,0.0,11.543987503404894,-0.0,0.8252689694116337,0.0,0.2564268986744483
 01/03  21:00:00,01/03 21:00:00,0.2,22.0,-0.0475066042918549,22.0,22.0,22.0,22.000000000000004,0.0,21718808.18484614,1,1,21718808.18484614,0.0,6033.002273568372,,3.0247919358675404,,0.2607065040130608,0.0,11.806266680172941,-0.0,0.8720196971972571,0.0,0.2607065040130608
 01/03  22:00:00,01/03 22:00:00,-0.2,22.0,-1.1796581844495495,22.0,22.0,22.0,22.0,0.0,22584467.63142378,1,1,22584467.63142378,0.0,6273.46323095105,,3.0233829155377734,,0.2646279329919847,0.0,12.276836068397358,-0.0,0.9234144018919906,0.0,0.2646279329919847
 01/03  23:00:00,01/03 23:00:00,-0.6,20.089255122993933,-2.036879719126776,20.425197279205342,20.21486837823219,20.266386646572045,20.286082347195943,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/03  24:00:00,01/03 24:00:00,-1.0,19.286146509648887,-2.7775906987977512,19.667829798092136,19.405151569303488,19.47703894703841,19.495733563046286,0.0,0.0,1,1,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  01:00:00,01/04 01:00:00,-1.5,18.953856646768536,-3.461834188402728,19.32908064321695,19.021578752851827,19.115177181017792,19.126652311818773,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  02:00:00,01/04 02:00:00,-2.1,18.622294631076382,-4.159284226610151,18.96698839801938,18.64339777275316,18.756829426257283,18.75437741424129,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  03:00:00,01/04 03:00:00,-2.6,18.35743059428885,-4.850701467555933,18.66862045002506,18.33901702523496,18.468049643183896,18.45269705705193,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  04:00:00,01/04 04:00:00,-3.0,18.116291600956323,-5.5259956767748655,18.398954951711303,18.06700110639381,18.211051032372005,18.18265297839769,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  05:00:00,01/04 05:00:00,-3.5,17.88675789831941,-6.257759892604939,18.13636195676893,17.82107101383882,17.965054862954524,17.925951167104838,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/04  06:00:00,01/04 06:00:00,-3.9,17.69996750910283,-7.015639410962505,17.925839078148204,17.619190849848046,17.77753269090133,17.735386931611817,0.0,0.0,1,2,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
