Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),Heating_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_heating_COP,ASHP_heating_exergy_efficiency
 02/17  11:00:00,02/17 11:00:00,5.9,21.999999999999996,5351.829337201227,10.473247235227449,0.5713002896397156,3.321975230693755,0.22302005825548823
 02/17  12:00:00,02/17 12:00:00,6.4,22.0,4020.072931121372,7.867070315306012,0.41580991671615797,3.292519346814181,0.21553909169865298
 02/17  13:00:00,02/17 13:00:00,6.9,22.0,1978.6606566456123,3.8721343574278126,0.1981000467462647,3.1958551662417367,0.20386926002197717
 02/17  14:00:00,02/17 14:00:00,7.5,22.0,2592.305602451156,5.073005092859406,0.24922437352688923,3.272799454586143,0.2022130837085333
 02/17  15:00:00,02/17 15:00:00,8.0,22.0,1918.6507938696102,3.7546982267507047,0.17809850982385197,3.252739975781523,0.19553672824744342
 02/17  16:00:00,02/17 16:00:00,7.2,22.0,1919.4064100506562,3.7561769276920867,0.18834971550006066,3.20834776568625,0.20144852937784105
 02/17  17:00:00,02/17 17:00:00,6.3,22.0,2728.684967183788,5.339892303686474,0.28404644813782026,3.2129075438086705,0.21140151876262345
 02/17  18:00:00,02/17 18:00:00,5.5,21.999999999999996,2998.5653032115524,5.868033861470749,0.32804526076322993,3.182602952173419,0.21791911332886008
 02/17  19:00:00,02/17 19:00:00,5.0,22.0,3696.3407053096444,7.233543454617699,0.41663641785024885,3.1918878816400875,0.22389011754228816
 02/17  20:00:00,02/17 20:00:00,4.5,22.0,4270.03880280864,8.356240318607906,0.49545724403062263,3.189876714556102,0.22908093236315866
 02/17  21:00:00,02/17 21:00:00,4.0,22.0,4471.180598175477,8.749864184296433,0.5336186864893642,3.168065612098181,0.2328099962523243
 02/17  22:00:00,02/17 22:00:00,3.6,22.0,4701.918776833797,9.201406608285318,0.5736265681600872,3.1530627958976276,0.23592377250247068
 02/21  07:00:00,02/21 07:00:00,8.4,21.976111803184995,13132.442621525528,25.699496323924713,1.1822038831041153,4.093649346743113,0.24061351222515068
 02/21  08:00:00,02/21 08:00:00,8.6,21.99926307191444,18350.31161838726,35.91059025124708,1.6302783237068261,4.012657847349275,0.2331701872778035
 02/21  09:00:00,02/21 09:00:00,8.7,21.999993477639105,12350.193472546873,24.1686760715203,1.0890843341277112,4.0948742252523695,0.23657875313894564
 02/21  10:00:00,02/21 10:00:00,7.9,21.99999981267977,9542.95778965256,18.675064167617535,0.8921511144581015,3.8897846221168413,0.23513268378510038
 02/21  11:00:00,02/21 11:00:00,7.1,21.999999999040178,8429.94184671131,16.496950776343073,0.8328123549126779,3.7435769963379997,0.23630644696105124
 02/21  12:00:00,02/21 12:00:00,6.3,21.999999999986635,8304.574468763272,16.251613441806796,0.8644768119131327,3.6792984444904073,0.24208890811224312
 02/21  13:00:00,02/21 13:00:00,6.3,21.999999999999844,5839.018532373595,11.426650748284922,0.607821164655502,3.4000119701120792,0.2237125359171543
 02/21  14:00:00,02/21 14:00:00,6.2,22.0,6652.082735344964,13.0177744331604,0.6968688329457372,3.496995318195288,0.23126285172823693
 02/21  15:00:00,02/21 15:00:00,6.2,22.0,6152.770879218736,12.040647513148212,0.6445611746831841,3.4349857799156753,0.22716204479198537
 02/21  16:00:00,02/21 16:00:00,5.9,22.0,4894.190165484745,9.577671556721615,0.5224479487149521,3.303312255887057,0.2217671236489466
 02/21  17:00:00,02/21 17:00:00,5.6,22.0,4430.445740227082,8.670148219622469,0.4817564994132082,3.2645674008525454,0.22244003496096576
 02/21  18:00:00,02/21 18:00:00,5.3,22.0,4431.23616775824,8.671695044536675,0.49065663982301355,3.2464192602876447,0.22445930047357013
 02/21  19:00:00,02/21 19:00:00,5.1,22.0,5390.553655700575,10.549028680431654,0.6040270530214964,3.2746264483887226,0.2285989794986365
 02/21  20:00:00,02/21 20:00:00,5.0,22.0,5882.263555913989,11.511278974391368,0.6630247079947598,3.325361114509833,0.2332523943214467
 02/21  21:00:00,02/21 21:00:00,4.8,22.0,5950.427220385247,11.644671664158997,0.6785985181214113,3.3216094265995255,0.23521006850570672
 02/21  22:00:00,02/21 22:00:00,4.7,22.0,6049.559785038663,11.838668855261572,0.6939148609047108,3.327938438240031,0.2367707700792578
 02/22  07:00:00,02/22 07:00:00,2.2,21.98075226343911,11093.227318422223,21.70885972293977,1.4550079000846285,3.5722481205695935,0.28400761746556213
