Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [W](TimeStep),Cooling_demand_W_m2,Cooling_exergy_demand_W_m2,ASHP_cooling_COP,ASHP_cooling_exergy_efficiency
 05/11  21:00:00,05/11 21:00:00,19.1,22.0,63.96537192756828,0.12517685308721777,-0.001229926728622499,2.47997502667824,0.026947861717262874
 05/12  08:00:00,05/12 08:00:00,19.6,21.99999994063436,3920.893975271975,7.6729823390841,-0.06239253654749923,2.5881185025738107,0.032599001795864495
 05/12  09:00:00,05/12 09:00:00,20.1,21.99999999975777,5401.777941674665,10.570994015018915,-0.06804976664743899,2.786216351190675,0.03991280497269574
 05/12  10:00:00,05/12 10:00:00,21.2,21.99999999999941,7042.6333619704355,13.782061373719053,-0.037356087070870604,3.1440701096854147,0.05700165087358937
 05/12  11:00:00,05/12 11:00:00,22.3,21.999999999999996,8598.368332877644,16.826552510523765,0.01710305184874568,3.382920438510017,0.07420331718514808
 05/12  12:00:00,05/12 12:00:00,23.4,22.000000000000004,7939.366968847573,15.536921661149849,0.07369707039000323,3.2177222816369833,0.08282253627684777
 05/12  13:00:00,05/12 13:00:00,24.4,22.0,10425.79940995906,20.402738571348454,0.16590402361930032,3.5303935427100015,0.10308184596670183
 05/12  14:00:00,05/12 14:00:00,25.5,22.0,11275.748053630683,22.066043157789988,0.2616674607903252,3.5637546407606258,0.11761531035070337
 05/12  15:00:00,05/12 15:00:00,26.6,22.0,12217.608216122751,23.90921373018151,0.37263216384494413,3.588665492942941,0.13209160268913714
 05/12  16:00:00,05/12 16:00:00,26.3,22.0,12837.234688088038,25.12178999625839,0.36599592405187586,3.654330123549111,0.1307165877625444
 05/12  17:00:00,05/12 17:00:00,26.1,22.0,7165.409780964579,14.022328338482541,0.19478755272836992,2.9488785383452916,0.10344237249282554
 05/12  18:00:00,05/12 18:00:00,25.8,21.99999999999999,4079.3262993327635,7.983026026091514,0.10277993867236204,2.364463870984971,0.0804884158195504
 05/12  19:00:00,05/12 19:00:00,23.8,21.99999999999999,2882.8556905599944,5.641596263326799,0.034405804756863244,2.403949239742287,0.06520244849411855
 05/12  20:00:00,05/12 20:00:00,21.8,21.999999999999996,1961.1165881758184,3.8378015424184313,-0.0026005770234917313,2.4487395797178544,0.04947736416647463
 05/12  21:00:00,05/12 21:00:00,19.8,22.0,1565.9186167494431,3.064419993638832,-0.022841687230240354,2.5100800050175844,0.033352484900962216
 05/15  10:00:00,05/15 10:00:00,16.4,22.00000000000002,4669.430148314983,9.137828078894291,-0.1733756979224399,2.7284635744363603,0.004166713505623754
 05/15  11:00:00,05/15 11:00:00,18.2,22.000000000000004,5395.327544247779,10.558370928077846,-0.13593701347347462,2.860960824980092,0.02218149993219982
 05/15  12:00:00,05/15 12:00:00,19.9,22.000000000000004,4814.832478346061,9.422372756058827,-0.06704042957046874,2.6180488532508672,0.03569267153155381
 05/15  13:00:00,05/15 13:00:00,20.8,21.999999999999996,5913.042721341542,11.571512174836677,-0.04704663598104038,2.8962423274774176,0.04850142442935537
 05/15  14:00:00,05/15 14:00:00,21.7,22.0,6268.7338251303745,12.267580871096623,-0.012469165716852793,2.946981942409064,0.058525135047572764
 05/15  15:00:00,05/15 15:00:00,22.6,22.0,6911.932771378917,13.526287223833497,0.027497111076741836,3.053562360451104,0.07014754763800905
 05/15  16:00:00,05/15 16:00:00,22.5,22.0,7603.819496017037,14.88027298633471,0.025207984052744666,3.1978144574509786,0.07235526444274645
 05/15  17:00:00,05/15 17:00:00,22.3,22.0,5050.427468137157,9.883419702812441,0.010045827243245214,2.599342592865987,0.057015778643689494
 05/15  18:00:00,05/15 18:00:00,22.2,22.0,3724.4049802155,7.288463757760274,0.004938820096737593,2.486751420294244,0.05368598126432269
 05/15  19:00:00,05/15 19:00:00,20.5,22.000000000000004,2861.7630623825,5.600319104466731,-0.02846172677181154,2.525316216265804,0.03966932228249559
 05/15  20:00:00,05/15 20:00:00,18.8,22.0,1478.0235748299665,2.892414040763144,-0.03135939329304444,2.5446808918743407,0.025010421506485733
