,T_b,T_b_f_in,T_b_f_out,T_tank_w,COP,g_conv,Q_b_unit,Q_ref_cond,Q_ref_evap,Q_env_loss,Q_use_loss,total_loss,Q_ref,is_on,E_cmp,E_pmp,Xc_g,Xg,Xb,X_ref_tank,dV_w_serv,dV_w_sup_tank,dV_w_sup_mix
2190,288.789824308557,288.789824308557,288.789824308557,64.57994601365436,0.0,32.270226708395526,0.0,0.0,0.0,29.1216516852637,0.0,29.1216516852637,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,288.79094998345846,288.79094998345846,288.79094998345846,64.57164180650545,0.0,32.2838318169318,0.0,0.0,0.0,29.1179069898429,0.0,29.1179069898429,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,288.79206595484504,288.79206595484504,288.79206595484504,64.56333866717807,0.0,32.29739446704966,0.0,0.0,0.0,29.114162775945058,0.0,29.114162775945058,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,288.79317236076474,288.79317236076474,288.79317236076474,64.5550365955349,0.0,32.31091502421747,0.0,0.0,0.0,29.11041904350825,0.0,29.11041904350825,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,288.7942693365844,288.7942693365844,288.7942693365844,64.54673559143866,0.0,32.32439384871038,0.0,0.0,0.0,29.106675792470575,0.0,29.106675792470575,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,288.79535701505495,288.79535701505495,288.79535701505495,64.53843565475206,0.0,32.337831295711005,0.0,0.0,0.0,29.10293302277012,0.0,29.10293302277012,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,288.7964355263747,288.7964355263747,288.7964355263747,64.53013678533786,0.0,32.3512277154078,0.0,0.0,0.0,29.099190734344997,0.0,29.099190734344997,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,288.7975049982519,288.7975049982519,288.7975049982519,64.52183898305881,0.0,32.36458345309098,0.0,0.0,0.0,29.095448927133322,0.0,29.095448927133322,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,288.79856555596126,288.79856555596126,288.79856555596126,64.5135422477777,0.0,32.377898849246094,0.0,0.0,0.0,29.091707601073214,0.0,29.091707601073214,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,288.79961732240776,288.79961732240776,288.79961732240776,64.50524657935733,0.0,32.39117423964552,0.0,0.0,0.0,29.087966756102805,0.0,29.087966756102805,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,288.8006604181779,288.8006604181779,288.8006604181779,64.4969519776605,0.0,32.40440995543758,0.0,0.0,0.0,29.084226392160225,0.0,29.084226392160225,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,288.80169496159715,288.80169496159715,288.80169496159715,64.48865844255005,0.0,32.41760632323355,0.0,0.0,0.0,29.080486509183626,0.0,29.080486509183626,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,288.80272106878175,288.80272106878175,288.80272106878175,64.48036597388882,0.0,32.43076366519284,0.0,0.0,0.0,29.07674710711116,0.0,29.07674710711116,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,288.80373885369147,288.80373885369147,288.80373885369147,64.4720745715397,0.0,32.443882299105866,0.0,0.0,0.0,29.07300818588099,0.0,29.07300818588099,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2204,288.8047484281805,288.8047484281805,288.8047484281805,64.46378423536554,0.0,32.456962538475196,0.0,0.0,0.0,29.06926974543128,0.0,29.06926974543128,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,288.80574990204485,288.80574990204485,288.80574990204485,64.45549496522926,0.0,32.4700046925947,0.0,0.0,0.0,29.065531785700212,0.0,29.065531785700212,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2206,288.80674338307017,288.80674338307017,288.80674338307017,64.4472067609938,0.0,32.48300906662692,0.0,0.0,0.0,29.06179430662597,0.0,29.06179430662597,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2207,288.8077289770787,288.8077289770787,288.8077289770787,64.43891962252206,0.0,32.49597596167861,0.0,0.0,0.0,29.05805730814675,0.0,29.05805730814675,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2208,288.808706787974,288.808706787974,288.808706787974,64.43063354967704,0.0,32.50890567487458,0.0,0.0,0.0,29.05432079020075,0.0,29.05432079020075,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2209,288.8096769177834,288.8096769177834,288.8096769177834,64.42234854232169,0.0,32.52179849942986,0.0,0.0,0.0,29.050584752726188,0.0,29.050584752726188,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2210,288.81063946670434,288.81063946670434,288.81063946670434,64.41406460031898,0.0,32.53465472472007,0.0,0.0,0.0,29.046849195661263,0.0,29.046849195661263,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,288.811594533141,288.811594533141,288.811594533141,64.40578172353194,0.0,32.547474636350444,0.0,0.0,0.0,29.04311411894421,0.0,29.04311411894421,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,288.81254221374655,288.81254221374655,288.81254221374655,64.39749991182362,0.0,32.56025851622313,0.0,0.0,0.0,29.039379522513272,0.0,29.039379522513272,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2213,288.8134826034636,288.8134826034636,288.8134826034636,64.38921916505701,0.0,32.57300664260297,0.0,0.0,0.0,29.035645406306674,0.0,29.035645406306674,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214,288.8144157955592,288.8144157955592,288.8144157955592,64.38093948309522,0.0,32.58571929018197,0.0,0.0,0.0,29.031911770262674,0.0,29.031911770262674,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,288.81534188166546,288.81534188166546,288.81534188166546,64.37266086580131,0.0,32.59839673014214,0.0,0.0,0.0,29.028178614319526,0.0,29.028178614319526,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,288.8162609518132,288.8162609518132,288.8162609518132,64.36438331303836,0.0,32.61103923021701,0.0,0.0,0.0,29.024445938415493,0.0,29.024445938415493,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,288.8171730944689,288.8171730944689,288.8171730944689,64.35610682466951,0.0,32.62364705475188,0.0,0.0,0.0,29.020713742488855,0.0,29.020713742488855,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218,288.81807839656693,288.81807839656693,288.81807839656693,64.34783140055788,0.0,32.63622046476261,0.0,0.0,0.0,29.016982026477883,0.0,29.016982026477883,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,288.8189769435445,288.8189769435445,288.8189769435445,64.33955704056662,0.0,32.64875971799322,0.0,0.0,0.0,29.01325079032087,0.0,29.01325079032087,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220,288.8198688193735,288.8198688193735,288.8198688193735,64.33128374455889,0.0,32.6612650689722,0.0,0.0,0.0,29.009520033956115,0.0,29.009520033956115,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2221,288.8207541065918,288.8207541065918,288.8207541065918,64.32301151239788,0.0,32.673736769067595,0.0,0.0,0.0,29.005789757321917,0.0,29.005789757321917,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,288.8216328863347,288.8216328863347,288.8216328863347,64.31474034394681,0.0,32.686175066540955,0.0,0.0,0.0,29.002059960356597,0.0,29.002059960356597,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,288.82250523836507,288.82250523836507,288.82250523836507,64.30647023906887,0.0,32.69858020659999,0.0,0.0,0.0,28.998330642998464,0.0,28.998330642998464,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,288.82337124110154,288.82337124110154,288.82337124110154,64.29820119762732,0.0,32.71095243145031,0.0,0.0,0.0,28.99460180518586,0.0,28.99460180518586,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,288.82423097164764,288.82423097164764,288.82423097164764,64.2899332194854,0.0,32.72329198034588,0.0,0.0,0.0,28.99087344685711,0.0,28.99087344685711,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,288.8250845058203,288.8250845058203,288.8250845058203,64.28166630450639,0.0,32.73559908963848,0.0,0.0,0.0,28.987145567950556,0.0,28.987145567950556,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,288.82593191817546,288.82593191817546,288.82593191817546,64.27340045255357,0.0,32.747873992826115,0.0,0.0,0.0,28.983418168404558,0.0,28.983418168404558,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,288.8267732820357,288.8267732820357,288.8267732820357,64.26513566349027,0.0,32.76011692060044,0.0,0.0,0.0,28.979691248157476,0.0,28.979691248157476,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2229,288.8276086695145,288.8276086695145,288.8276086695145,64.2568719371798,0.0,32.77232810089313,0.0,0.0,0.0,28.975964807147676,0.0,28.975964807147676,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230,288.8284381515431,288.8284381515431,288.8284381515431,64.24860927348549,0.0,32.784507758921315,0.0,0.0,0.0,28.972238845313527,0.0,28.972238845313527,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2231,288.8292617978938,288.8292617978938,288.8292617978938,64.24034767227072,0.0,32.79665611723213,0.0,0.0,0.0,28.968513362593423,0.0,28.968513362593423,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2232,288.83007967720494,288.83007967720494,288.83007967720494,64.23208713339885,0.0,32.80877339574617,0.0,0.0,0.0,28.96478835892575,0.0,28.96478835892575,,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
