Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) 
 01/02  18:00:00,6.9,5.9967885261012235,22.0,22.000000000000004,22.0,22.0,21.999999999999996,0.0,0.0,4118706.6739837956,0.0,6636093.694243398,1.6370904631912708e-9,4226453.507312319,0.0,6651807.18003015,4.092726157978177e-10,4286421.079768103,4.092726157978177e-10,0.0,25919482.135337766 
 01/02  19:00:00,6.6,5.334565913921518,22.0,22.0,22.0,22.0,22.0,0.0,0.0,4414764.644556088,5.456968210637569e-10,6518674.588567488,0.0,4170311.0242350157,0.0,6559266.736520719,2.7284841053187847e-10,4217002.9179978985,5.456968210637569e-10,0.0,25880019.911877207 
 01/02  20:00:00,6.3,4.851016181357409,22.0,21.999999999999996,22.0,21.999999999999996,22.000000000000004,0.0,0.0,4596132.066663843,0.0,6676466.699622303,8.185452315956354e-10,4254334.184961613,0.0,6690868.360108931,4.092726157978177e-10,4300171.18960054,0.0,0.0,26517972.50095723 
 01/02  21:00:00,6.0,4.8309469688488225,22.0,22.0,22.0,22.000000000000004,22.0,0.0,0.0,4564222.666003545,0.0,6670669.390480702,0.0,4239263.646787166,0.0,6660490.756909115,0.0,4285153.179765214,0.0,0.0,26419799.63994574 
 01/02  22:00:00,5.5,4.58444653815267,21.999999999999996,22.0,22.0,22.000000000000004,22.0,0.0,0.0,4601643.184444075,8.185452315956354e-10,6741955.410493869,0.0,4267595.059890239,0.0,6695872.127241134,0.0,4310266.722158891,0.0,0.0,26617332.504228204 
 01/02  23:00:00,5.0,4.421328122776174,20.246866033292456,20.173845464355015,20.1483642496835,20.19626209721174,20.135193153809357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  24:00:00,4.5,4.111347193375118,19.395144777774178,19.42484483461094,19.398601421448824,19.474147199699434,19.380281282467482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  01:00:00,4.2,3.8029086840824324,19.074546321649077,19.029521650447254,18.98285267775236,19.073183842559395,18.96509887172867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  02:00:00,3.8,3.287942426849958,18.777439600818703,18.672877447805938,18.63073992798885,18.743907266559106,18.61098592746154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  03:00:00,3.5,2.8448468455195046,18.562382545516208,18.43178580563478,18.38407994076556,18.509043156529884,18.36316993146854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
