Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/02  08:00:00,4.3500000000000005,2.022322504070536,21.0,20.99999999999999,20.999999999999957,20.99999999999997,20.999999999999943,5527200.0,0.0,7920077.218560001,5940057.91392,19387335.13248,0.0,64101914.18272098 
 01/02  09:00:00,4.891666666666666,2.5853345302831436,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,52703417.89782079 
 01/02  10:00:00,5.45,4.142710280724566,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,42817231.55123496 
 01/02  11:00:00,5.991666666666667,4.881010865353516,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,35374075.7170566 
 01/02  12:00:00,6.550000000000001,5.69670499519529,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,31406106.64438118 
 01/02  13:00:00,6.741666666666667,6.0866511435575505,21.0,21.0,21.0,21.0,21.0,0.0,0.0,15840154.437120002,17820173.74176,33660328.17888,0.0,24087654.453666754 
 01/02  14:00:00,6.700000000000002,6.792584753719812,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,24681199.800495893 
 01/02  15:00:00,6.641666666666667,6.825262233397932,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,23759526.635253567 
 01/02  16:00:00,6.658333333333334,6.216427820155698,21.0,21.0,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,22331573.18336718 
 01/02  17:00:00,6.758333333333333,5.417004717561049,21.0,21.000000000000004,21.0,21.0,21.0,0.0,0.0,17820173.74176,17820173.74176,35640347.48352,0.0,20123010.995810032 
 01/02  18:00:00,6.858333333333333,5.2153669581922975,21.0,21.0,21.0,21.0,21.0,5527200.0,0.0,9900096.523200002,9900096.523200002,25327393.046400003,0.0,20360351.419741154 
 01/02  19:00:00,6.7250000000000005,5.88141217062737,21.0,21.0,21.000000000000004,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,21937607.323237427 
 01/02  20:00:00,6.425,5.009672233853902,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,5940057.91392,22150935.13248,0.0,21941646.54173605 
 01/02  21:00:00,6.125,4.710091326467771,21.0,21.0,21.0,21.0,21.0,8290800.0,0.0,7920077.218560001,3960038.6092800004,20170915.82784,0.0,22056189.468722075 
